Gene	Enterobacteriaceae	Endosymbiont	Gammaproteobacteria	Proteobacteria	Bacteria
rpsH	Core essential	Core	Core essential	Core essential	Core essential
rpsJ	Core essential	Core	Core essential	Core essential	Core essential
rpsK	Core essential	Core	Core essential	Core essential	Core essential
rpsL	Core essential	Core	Core essential	Core essential	Core essential
rpsM	Core essential	Core	Core essential	Core essential	Core essential
secY	Core essential	Core	Core essential	Core essential	Core essential
serS	Core essential	Core	Core essential	Core essential	Core essential
thrS	Core essential	Core	Core essential	Core essential	Core essential
tmk	Core essential	Core	Core essential	Core essential	Core essential
tsf	Core essential	Core	Core essential	Core essential	Core essential
tyrS	Core essential	Core	Core essential	Core essential	Core essential
uppS	Core essential	Core	Core essential	Core essential	Core essential
valS	Core essential	Core	Core essential	Core essential	Core essential
acpP	Core essential	Core	Core essential	Core essential	Not core essential
bamA	Core essential	Core	Core essential	Core essential	Not core essential
dapB	Core essential	Core	Core essential	Core essential	Not core essential
dapE	Core essential	Core	Core essential	Core essential	Not core essential
dxr	Core essential	Core	Core essential	Core essential	Not core essential
dxs	Core essential	Core	Core essential	Core essential	Not core essential
fabZ	Core essential	Core	Core essential	Core essential	Not core essential
glmM	Core essential	Core	Core essential	Core essential	Not core essential
glmU	Core essential	Core	Core essential	Core essential	Not core essential
glyS	Core essential	Core	Core essential	Core essential	Not core essential
hemC	Core essential	Core	Core essential	Core essential	Not core essential
ispE	Core essential	Core	Core essential	Core essential	Not core essential
ispG	Core essential	Core	Core essential	Core essential	Not core essential
lolC	Core essential	Core	Core essential	Core essential	Not core essential
lspA	Core essential	Core	Core essential	Core essential	Not core essential
murA	Core essential	Core	Core essential	Core essential	Not core essential
murC	Core essential	Core	Core essential	Core essential	Not core essential
murE	Core essential	Core	Core essential	Core essential	Not core essential
nusG	Core essential	Core	Core essential	Core essential	Not core essential
pheT	Core essential	Core	Core essential	Core essential	Not core essential
ppa	Core essential	Core	Core essential	Core essential	Not core essential
pyrG	Core essential	Core	Core essential	Core essential	Not core essential
rplK	Core essential	Core	Core essential	Core essential	Not core essential
rplR	Core essential	Core	Core essential	Core essential	Not core essential
rpmB	Core essential	Core	Core essential	Core essential	Not core essential
tadA	Core essential	Core	Core essential	Core essential	Not core essential
yidC	Core essential	Core	Core essential	Core essential	Not core essential
der	Core essential	Core	Core essential	Not core essential	Core essential
fmt	Core essential	Core	Core essential	Not core essential	Core essential
fusA	Core essential	Core	Core essential	Not core essential	Core essential
groL	Core essential	Core	Core essential	Not core essential	Core essential
lysS	Core essential	Core	Core essential	Not core essential	Core essential
map	Core essential	Core	Core essential	Not core essential	Core essential
rpsB	Core essential	Core	Core essential	Not core essential	Core essential
