Gene	Mycobacterium tuberculosis H37Rv	Synechococcus elongatus PCC 7942	Porphyromonas gingivalis ATCC 33277	Bacteroides thetaiotaomicron VPI-5482	Bacteroides fragilis 638R	Caulobacter crescentus	Brevundimonas subvibrioides ATCC 15264	Rhodopseudomonas palustris CGA009	Agrobacterium fabrum str. C58	Burkholderia thailandensis E264	Burkholderia pseudomallei K96243	Francisella novicida U112	Shewanella oneidensis MR-1	Vibrio cholerae N16961	Haemophilus influenzae Rd KW20	Escherichia coli ST131 strain EC958	Escherichia coli MG1655	Salmonella enterica serovar Typhimurium SL1344	Salmonella enterica serovar Typhi Ty2	Salmonella enterica serovar Typhi	Acinetobacter baumannii ATCC 17978	Pseudomonas aeruginosa PAO1	Helicobacter pylori 26695	Mycoplasma genitalium G37	Mycoplasma pulmonis UAB CTIP	Streptococcus agalactiae A909	Streptococcus pyogenes MGAS5448	Streptococcus pyogenes NZ131	Staphylococcus aureus NCTC 8325	Staphylococcus aureus N315	Bacillus subtilis 168
rpsJ	Not analysed	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential
rpsK	Not analysed	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential
rpsL	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Not analysed	Essential	Non-essential	Essential	Essential	Essential
rpsM	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
secY	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
serS	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Not analysed	Essential	Essential	Essential	Essential	Essential
thrS	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential
tmk	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
tsf	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
tyrS	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
uppS	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential
valS	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
acpP	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential
bamA	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
dapB	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
dapE	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
dxr	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
dxs	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
fabZ	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential
glmM	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential
glmU	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential
glyS	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential
hemC	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
