Mycobacterium tuberculosis H37Rv	Synechococcus elongatus PCC 7942	Porphyromonas gingivalis ATCC 33277	Bacteroides thetaiotaomicron VPI-5482	Bacteroides fragilis 638R	Caulobacter crescentus	Brevundimonas subvibrioides ATCC 15264	Rhodopseudomonas palustris CGA009	Agrobacterium fabrum str. C58	Burkholderia thailandensis E264	Burkholderia pseudomallei K96243	Francisella novicida U112	Shewanella oneidensis MR-1	Vibrio cholerae N16961	Haemophilus influenzae Rd KW20	Escherichia coli ST131 strain EC958	Escherichia coli MG1655	Salmonella enterica serovar Typhimurium SL1344	Salmonella enterica serovar Typhi Ty2	Salmonella enterica serovar Typhi	Acinetobacter baumannii ATCC 17978	Pseudomonas aeruginosa PAO1	Helicobacter pylori 26695	Mycoplasma genitalium G37	Mycoplasma pulmonis UAB CTIP	Streptococcus agalactiae A909	Streptococcus pyogenes MGAS5448	Streptococcus pyogenes NZ131	Staphylococcus aureus NCTC 8325	Staphylococcus aureus N315	Bacillus subtilis 168
nusB	2	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
obg	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1
pth	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1
rho	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0
ribB	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
ribD	0	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ribE	2	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
ribH	2	1	1	1	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
rimM	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0
rpmA	0	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1
rpsR	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1
rpsU	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
suhB	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
dnaA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
era	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	0	1	1	0	1
murF	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1
rpoC	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
cdsA	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1
coaD	2	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0
hemH	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
ispB	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1
kdtA	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
lptD	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
lpxA	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
lpxB	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
lpxC	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
lpxD	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
lpxK	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
pgsA	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1
secD	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
yjgQ	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
accA	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1
accB	0	1	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1
accC	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1
accD	0	1	0	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1
coaBC	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0
fabA	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
ftsQ	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
kdsA	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
kdsB	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
lolA	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
lolB	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
lpxH	0	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
mrdA	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
rpmC	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
secE	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
yjeE	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1
yjgP	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
X08C6U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
coaA	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0
coaE	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1
dnaC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
dnaT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
fabD	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1
fabH	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0
folB	2	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
folE	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0
glmS	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1
hemA	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
hemB	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0
hemD	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
hemE	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
hemG	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
lexA	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0
lnt	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
lptA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
lptE	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
mrdB	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
mreC	0	1	0	0	1	1	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1
mreD	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
msbA	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
mukB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
mukE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
mukF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
nadD	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	1
nadE	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
plsB	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
plsC	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0
priA	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1
psd	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
pssA	0	0	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
rnpA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1
rplY	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0
rpmH	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0
rpsT	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
secF	1	1	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0
thyA	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	0
topA	1	1	1	0	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1
ubiA	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
ubiB	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
ubiD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
ubiE	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1
iscS	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1
rpsI	2	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1
nrdA	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0
purB	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
X08EMG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aceE	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
aceF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
ackA	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
ahpC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
apaH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aroA	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aroB	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
aroC	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
aroE	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
aroK	2	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
aroQ	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
atpA	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0
atpB	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
atpC	2	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
atpD	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0
atpE	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
atpF	2	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	0
atpG	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0
atpH	0	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0
carA	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
carB	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clpP	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0
clpX	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cls	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
csrA	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
cyoA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cyoB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
cyoC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
cyoE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysE	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
dapF	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1
deaD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0
dksA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dnaJ	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0
dnaK	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
dnaQ	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
efp	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0
folA	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1
fpr	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
gloB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyA	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1
gnd	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gpmA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
greA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	1	1	0
grpE	0	1	0	0	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0
grxD	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hflC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hflK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hinT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hisA	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hisB	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hisF	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hisG	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hisH	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
htpX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
iscA	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
lon	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0
lpdA	1	0	0	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0
metE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miaA	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
minC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
minD	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mnmA	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1
mnmE	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	1	1	0	0
mnmG	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0
nfuA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuoA	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
nuoB	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
nuoC	0	1	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
nuoF	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
nuoG	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
nuoH	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
nuoI	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
nuoJ	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
nuoK	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
nuoL	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
nuoM	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
nuoN	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
orn	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
pepA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
pfkA	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
pgi	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0
pgl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pitA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pnp	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
prmC	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0
ptsH	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0
ptsI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0
purA	1	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
purH	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pykA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rbfA	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
recB	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
recD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
rlmE	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
rlmN	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rluC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rluD	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
rnc	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	1
rne	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
rnt	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rpe	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0
rpiA	0	1	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0
rplA	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1
rplI	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
